사건,접수번호,품목,사람이지목한기준,사람이지목한절,시스템순위,시스템조항,판정
"5554","(25)1","스케이트보드","안전확인 부속서 72(전동보드)","5.3.5","","","못찾음"
"5554","(25)1","스케이트보드","안전확인 부속서 72(전동보드)","5.3.8","","","못찾음"
"5554","(25)1","스케이트보드","안전확인 부속서 72(전동보드)","5.3.9","","","못찾음"
"5554","(25)1","스케이트보드","KC 62133-2","7.3.2","","","못찾음"
"5554","(25)1","스케이트보드","KC 62133-2","7.3.6","","","못찾음"
"5554","(25)1","스케이트보드","KC 62133-2","7.3.8.1","","","못찾음"
"5554","(25)1","스케이트보드","KC 62133-2","7.3.8.2","","","못찾음"
"5555","(25)10","전기요","KC 60335-2-17","21","","","못찾음"
"5553","(25)11","전기머리인두","KC 60335-1","15","","","못찾음"
"5553","(25)11","전기머리인두","KC 60335-2-23","15","","","못찾음"
"5553","(25)11","전기머리인두","KC 60335-1","16","","","못찾음"
"5553","(25)11","전기머리인두","KC 60335-2-23","16","","","못찾음"
"5556","(25)13","직류전원장치","KC 62368-1","5","","","못찾음"
"5556","(25)13","직류전원장치","KC 62368-1","9","","","못찾음"
"5556","(25)13","직류전원장치","KC 62368-1","B.1","","","못찾음"
"5556","(25)13","직류전원장치","KC 62368-1","B.2","","","못찾음"
"5556","(25)13","직류전원장치","KC 62368-1","B.3","","","못찾음"
"5556","(25)13","직류전원장치","KC 62368-1","B.4","","","못찾음"
"5557","(25)14","완구","안전확인 부속서 6(완구)","4.1","","","못찾음"
"5557","(25)14","완구","안전확인 부속서 6(완구)","4.2","","","못찾음"
"5557","(25)14","완구","안전확인 부속서 6(완구)","4.3","","","못찾음"
"5557","(25)14","완구","안전확인 부속서 6(완구)","4.3.12.1","","","못찾음"
"5557","(25)14","완구","안전확인 부속서 6(완구)","4.4","","","못찾음"
"5557","(25)14","완구","안전확인 부속서 6(완구)","4.6.4","","","못찾음"
"5557","(25)14","완구","안전확인 부속서 6(완구)","4.7","","","못찾음"
"5557","(25)14","완구","안전확인 부속서 6(완구)","5.24.7","","","못찾음"
"5559","(25)16","전기매트","KC 60335-2-17","11","15","11.4","찾음(11.4=15위)"
"5559","(25)16","전기매트","KC 60335-2-17","19","14 6","19.102 19.113","찾음(19.102=14위, 19.113=6위)"
"5560","(25)17","가습기","KC 60335-1","10","","","못찾음"
"5560","(25)17","가습기","KC 60335-2-98","10","","","못찾음"
"5560","(25)17","가습기","KC 60335-1","11","10 11 1 13 14 16 3 7","11.1 11.2 11.3 11.4 11.5 11.6 11.7 11.8","찾음(11.1=10위, 11.2=11위, 11.3=1위, 11.4=13위, 11.5=14위, 11.6=16위, 11.7=3위, 11.8=7위)"
"5560","(25)17","가습기","KC 60335-2-98","11","","","못찾음"
"5560","(25)17","가습기","KC 60335-1","19","9 5 19 6 8 2 12 15 17","19 19.1 19.2 19.3 19.6 19.8 19.11.4.4 19.12 19.15","찾음(19=9위, 19.1=5위, 19.2=19위, 19.3=6위, 19.6=8위, 19.8=2위, 19.11.4.4=12위, 19.12=15위, 19.15=17위)"
"5560","(25)17","가습기","KC 60335-2-98","19","","","못찾음"
"5560","(25)17","가습기","KC 60335-1","22","18 20","22.20 22.32","찾음(22.20=18위, 22.32=20위)"
"5560","(25)17","가습기","KC 60335-2-98","22","","","못찾음"
